Conference,2018,2019,2020,2021,2022,2023
IEEE VTC2022-Fall - IEEE 96th Vehicular Technology Conference,,,,,MARACAS (1),
IEEE VTC2023-Sping - 97th Vehicular Technology Conference,,,,,,MARACAS (1)
IEEE Vehicular Technology Conference,,,,,AGORA (3),
IEEE Vehicular Technology Conference Spring 2018 -- First International Workshop on research advances in Cooperative ITS cyber security and privacy (C-ITSec),RITS (1),,,,,
IEEE WCCI 2022 - IEEE world congress on computational intelligenceWORLD CONGRESS ON COMPUTATIONAL INTELLIGENCE,,,,,MAASAI (1),
IEEE WCNC -  IEEE Wireless Communications and Networking Conference,SEQUEL (1),,,,,
IEEE WCNC 2019 - IEEE Wireless Communications and Networking Conference,,SEQUEL (1),,,,
IEEE Wireless Communications and Networking Conference,,,,,,AGORA (2)
IEEE Wireless Communications and Networking Conference (WCNC 2023),,,,,,MARACAS (1)
IEEE Wireless Communications and Networking Conference (WCNC),,,,,MARACAS (1) MARACAS (1),
IEEE Wireless Days,,,,FUN (1),,
IEEE Working Conference on Software Visualization,,,,,,EVREF (1)
IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),LARSEN (1),,,,,
IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,,PERCEPTION (1),,,,
IEEE Workshop on Spoken and Language Technology (SLT),MULTISPEECH (1),,,,,
IEEE World Forum on Internet of Things,,,,,,AIO (1)
IEEE World Forum on Internet of Things (WF-IoT),,,,,,AIO (1)
IEEE World Haptics (Work-in-Progress paper),,,,,,RAINBOW (1)
IEEE World Haptics Conference 2023 (Work-in-Progress paper),,,,,,RAINBOW (1)
IEEE World Haptics conference (Work-in-Progress paper),,,,,,RAINBOW (1)
IEEE eScience 2022  2022 IEEE 18th International Conference on e-Science (e-Science),,,,,BENAGIL (1),
"IEEE-ICASSP - 2018 IEEE International Conference on Acoustics, Speech and Signal Processing",GeoStat (1),,,,,
"IEEE-ICASSP 2019 -  International Conference on Acoustics, Speech and Signal Processing",,PARIETAL (2),,,,
IEEE-RAS 18th International Conference on Humanoid Robots (HUMANOIDS 2018),LARSEN (1),,,,,
IEEE-RAS International Conference on Humanoid Robots 2023,,,,,,AUCTUS (1)
IEEE-RIVF 2019 - International Conference on Computing and Communication Technologies,,WIMMICS (1),,,,
IEEE/ACM DS-RT 2020,,,FUN (1),,,
IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,,ROBOTLEARN (1),WILLOW (1)
IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2019),,WILLOW (1),,,,
IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,,TANGRAM (1)
IEEE/CVF International Conference on Computer Vision (ICCV),,,,,,WILLOW (1)
IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),,,,,,TANGRAM (1)
IEEE/IFIP Man2Block 2018 - IEEE/IFIP Network Operations and Management Symposium,RESIST (1),,,,,
IEEE/IFIP Network Operations and Management Symposium,,,,,RESIST (1),
IEEE/RAS ICRA Workshop on Dynamic Legged Locomotion in Realistic Terrains,LARSEN (1),,,,,
IEEE/RAS Int. Conf. on Humanoid Robots,,LARSEN (1),,,,
IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2018),MULTISPEECH (1) PANAMA (1) RAINBOW (1),,,,,
IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,LARSEN (1),,DEFROST (1),WILLOW (1)
IFAC 2019 - 15th IFAC Workshop on Time Delay Systems,,McTAO (1) FACTAS (1),,,,
IFAC 2019 - 7th IFAC Symposium on System Structure and Control and 15th IFAC workshop on time-delay systems,,DISCO (2),,,,
IFAC 2020 - 1st Virtual World Congress  by the International Federation of Automatic Control,,,McTAO (1) BIOCORE (1),,,
IFAC 2020 - 1st Virtual World Congress by the International Federation of Automatic Control,,,BIOCORE (1),,,
IFAC 2020 - 21rst IFAC World Congress,,,VALSE (9) BIOCORE (2) McTAO (1) DEFROST (1) PIXEL (1),,,
IFAC 2020 - 21st IFAC World Congress,,,DISCO (10) VALSE (6) CaGE (2) LOKI (1) PIXEL (1) COMMANDS (1) I4S (1),DISCO (1),,
IFAC 2020 - 21st International Federation of Automatic Control World Congress,,,I4S (2),,,
IFAC 2020 - 21st World Congress,,,OURAGAN (1) GAIA (1),,,
IFAC 2020 - 21st World Congress of the International Federation of Automatic Control,,,I4S (1),,,
IFAC 2020 - IFAC World Congress,,,I4S (2),,,
IFAC 2020 - IFAC World Congress 2020,,,CTRL-A (1),,,
IFAC 2020 - Ifac world Congress,,,SUMO (1),,,
"IFAC 2020 - International Federation of  Automatic Control, 21st World Congress",,,VALSE (1),,,
IFAC 2020 – 21st IFAC World Congress,,,I4S (1),,,
"IFAC 2020, 21st International Federation of Automatic Control World Congress",,,I4S (1),,,
IFAC 2023 - 22nd IFAC World Congress,,,,,,VALSE (7)
IFAC 2023 - 22nd International Federation of Automatic Control World Congress,,,,,,I4S (1)
IFAC 2023 - 22nd World Congress of the International Federation of Automatic Control,,,,,,VALSE (4) DEFROST (2) QUANTIC (2) SPIRALS (1) MATHERIALS (1) CTRL-A (1) DISCO (1) QINFO (1)
IFAC 2023 - The 22nd World Congress of the International Federation of Automatic Control,,,,,,TROPICAL (1) VALSE (1)
IFAC CAO 2022 - 18th Workshop on Control Applications of Optimization,,,,,McTAO (1),
IFAC CPDE 2022 - Workshop on Control of Systems Governed by Partial Differential Equations,,,,,DISCO (1),
IFAC Conference on Foundations of Systems Biology in Engineering (FOSBE),,BIOCORE (1),,,,
IFAC WC 2020 - 21st IFAC World Congress,,,NECS-POST (5),,,
IFAC WC 2023 - 22nd IFAC World Congress,,,,,,DANCE (2) SPIRALS (1)
IFAC World Congress,,,VALSE (5),,,I4S (1)
IFAC World Congress 2020,,,TRIPOP (1),,,
IFAC World Congress 2023,,,,,,BIOCORE (1)
IFAC World Congress 2023 - 22nd World Congress of the International Federation of Automatic Control,,,,,,I4S (1) MAMBA (1)
IFAC-CPES 2022 - 11th Symposium on Control of Power and Energy Systems,,,,,VALSE (1),
IFAC-PapersOnLine,,,,,,QUANTIC (1)
IFAC-V 2020 -  1st Virtual IFAC World Congress,,,IBIS (1),,,
IFC 2020 - Second International Faust Conference,,,SOCRATE (1),,,
IFC 2020 - Second International Functional Audio Stream (Faust) Conference,,,WIMMICS (1),,,
IFC 22 - International Faust Conference,,,,,EMERAUDE (2),
IFC-20 - Second International FAUST Conference,,,WIMMICS (1),,,
IFCS 2019,,MODAL (1),,,,
IFCS 2019 - 16th International of the Federation of Classification Societies,,MULTISPEECH (1),,,,
IFESS 2019 - RehabWeek 2019,,CAMIN (1),,,,
IFESS: International Functional Electrical Stimulation Society,CAMIN (1),,,,,
IFIP International Conference on Advances in Production Management Systems (APMS),,,,DATAMOVE (1),,
IFIP International Conference on Network and Parallel Computing NPC 2021,,,,,DATAMOVE (1),
IFIP Networking,,,FUN (1),,,
IFIP Networking 2018,AGORA (1) DANTE (1),,,,,
IFIP Networking 2020,,,NEO (2),,,
IFIP Networking Conference 2019,,DIANA (1) COATI (1),,,,
IFIP Performance,NEO (1),,,,,
IFIP TMA 2021 - Network Traffic Measurement and Analysis Conference,,,,COATI (1),,
"IFIP WG 7.3 Performance 2018 - 36th International Symposium on Computer Performance, Modeling, Measurements and Evaluation",POLARIS (1) NECS (1),,,,,
"IFIP WG PERFORMANCE 2018 - 36th International Symposium on Computer Performance, Modeling, Measurements and Evaluation 2018",DIONYSOS (1),,,,,
IFIP/IEEE IM 2019 - IFIP/IEEE International Symposium on Integrated Network Management,,VERIDIS (2) RESIST (2),,,,
IFIP/IEEE International Symposium on Integrated Network Management,,,,DIONYSOS (1),,
IFIP/IEEE PEMWN 2019 : IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,,EVA (1),,,,
IFL 2023 - The 35th Symposium on Implementation and Application of Functional Languages,,,,,,TOCCATA (1)
IFM 2018 - 14th International Conference on integrated Formal Methods,CAMUS (1) CORSE (1),,,,,
IFM 2019 : 15th International Conference on integrated Formal Methods,,LS2N - équipe STACK (1),,,,
IFM'2019 - 15th International Conference on Integrated Formal Methods,,CONVECS (1),,,,
IFOW 2020 - Integrated Food Ontology Workshop @ ICBO,,,GRAPHIK (2),,,
"IFRATH 2018 - 10ème Conférence sur les Aides Techniques pour les Personnes en Situation de Handicap, Handicap",RAINBOW (2),,,,,
IFToMM WC 2019 - 15th IFToMM World Congress,,HEPHAISTOS (1),,,,
IFToMM WC 2019: Advances in Mechanism and Machine Science,,TRIPOP (1),,,,
IFToMM WC 2023 - 16th World Congress of the International Federation for the Promotion of Mechanism and Machine Science,,,,,,HEPHAISTOS (1)
IGA 2019 - 7th International Conference on Isogeometric Analysis,,ACUMES (3),,,,
IGAA 2018,AROMATH (1),,,,,
IGARSS 2018 - 38th annual International Geoscience and Remote Sensing Symposium,GALEN-POST (1),,,,,
IGARSS 2018 - IEEE International Geoscience and Remote Sensing Symposium,BEAGLE (1) TITANE (1),,,,,
IGARSS 2018 : IEEE International Geoscience and Remote Sensing Symposium,SIMSMART (1),,,,,
IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,,GALEN (1) OPIS (1),,,,
IGARSS 2019 - IEEE International Geoscience and Remote Sensing Symposium,,TITANE (4) TAU (2) OPIS (2) AYIN (1),,,,
IGARSS 2019 - International Geoscience and remote Sensing Symposium,,SIMSMART (1) SIMSMART (1),,,,
IGARSS 2020 - IEEE International Geoscience and Remote Sensing Symposium,,,TITANE (2) STARS (1),,,
IGARSS 2021 - 2021 IEEE International Geoscience and Remote Sensing Symposium,,,,ARAMIS (1),,
IGARSS 2021 - IEEE International Geoscience and Remote Sensing Symposium,,,,AYANA (1),,
IGARSS 2022 - International Geoscience and Remote Sensing Symposium,,,,,Sirocco (1),
IGARSS 2022 – IEEE International Geoscience and Remote Sensing Symposium,,,,,TITANE (1),
IGARSS 2022: IEEE International Geoscience and Remote Sensing Symposium,,,,,ODYSSEY (1),
IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,,,,,,LEMON (1)
IGARSS 2023 - International Geoscience and Remote Sensing Symposium,,,,,,OPIS (2) Sirocco (1)
IGSC 2023 - 14th International Green and Sustainable Computing,,,,,,MYRIADS (1) TARAN (1)
IH&MMSEC 2020 - 8th ACM Workshop on Information Hiding and Multimedia Security,,,LinkMedia (1),,,
IH&MMSEC'19 - 7th ACM Workshop on Information Hiding and Multimedia Security,,LinkMedia (1),,,,
IH&MMSec 2021 - 9th ACM Workshop on Information Hiding and Multimedia Security,,,,PRIVATICS (1),,
IHIET 2023 - 10th International Conference on Human Interaction and Emerging Technologies,,,,,,Flowers (1)
IHM '18: 30e Conférence Francophone sur l'Interaction Homme-Machine,WIMMICS (1),,,,,
IHM '18: Proceedings of the 30th Conference on l'Interaction Homme-Machine,ILDA (1),,,,,
IHM '23: 34th International Francophone Conference on Human-Computer Interaction,,,,,,MAVERICK (1)
IHM 2018 - 30eme conférence francophone sur l'Interaction Homme-Machine,WIMMICS (2) LOKI (1),,,,,
IHM 2018 - 30eme conférence francophone sur l'interaction homme-machine,MAVERICK (1),,,,,
IHM 2019 - 31e conférence francophone sur l'Interaction Homme-Machine,,WIMMICS (1) EX-SITU (1) PERVASIVE (1),,,,
IHM 2022 - 33e conférence internationale francophone sur l’Interaction Humain-Machine,,,,,Hybrid (1),
IHM 2022 - 33ème conférence internationale francophone sur l’Interaction Humain-Machine,,,,,EX-SITU (1),
IHM 2023 - 34e Conférence Francophone sur l'Interaction Homme-Machine,,,,,,DiverSe (1)
IHM 2023 - 34e Conférence Internationale Francophone sur l'Interaction Humain-Machine,,,,,,EX-SITU (1)
IHM 2023 - 34e Conférence Internationale Francophone sur l'Interaction Human-Machine,,,,,,EX-SITU (1)
IHM 2023 - 34ème Conférence Internationale Francophone sur l'Interaction Humain-Machine,,,,,,Potioc (2)
IHM ’22 - 33ème Conférence Francophone sur l’Interaction Homme-Machine,,,,,EX-SITU (1),
IHM'20.21 - 32e Conférence Francophone pour l’Interaction Homme-Machine,,,,EX-SITU (1),,
IHM'23 - 34e Conférence Internationale Francophone sur l'Interaction Humain-Machine,,,,,,EX-SITU (1)
IHM'23: 34ème Conférence Internationale Francophone sur l'Interaction Humain-Machine,,,,,,Potioc (1)
"IHTC 2018, 16th International Heat Transfer Conference",I4S (1),,,,,
III Jornadas Científicas de Estudiantes de la Sociedad Española de Biometría,SISTM (1),,,,,
IISW 2023 - International Image Sensor Workshop,,,,,,ATLANTIS (1)
IJCAI,,,,Scool (1),,
IJCAI 19 - 28th International Joint Conference on Artificial Intelligence,,WIMMICS (1),,,,
IJCAI 2018 - 27th International Joint Conference on Artificial Intelligence,ORPAILLEUR (1) DELYS (1),,,,,
IJCAI 2019 - 28th International Joint Conference on Artificial Intelligence,,SPIRALS (2) SUMO (2) GRAPHIK (1) LINKS (1) VALDA (1),,,,
IJCAI 2019 - Twenty-Eighth International Joint Conference on Artificial Intelligence,,WIMMICS (1),,,,
IJCAI 2020 - 29th International Joint Conference on Artificial Intelligence,,,COATI (1) Scool (1),WIMMICS (1) GRAPHIK (1),,
IJCAI 2020 - International Joint Conference on Artificial Intelligence,,,SEQUEL (1) Scool (1),Flowers (1),,
IJCAI 2020 - Twenty-Ninth International Joint Conference on Artificial Intelligence,,,VALDA (1),,,
IJCAI 2021 - 30th International Joint Conference on Artificial Intelligence,,,,DATASHAPE (1) VALDA (1),,
IJCAI 2021 - International Joint Conference on Artificial Intelligence (Sister Conferences Best Papers),,,,VERIDIS (1) PESTO (1),,
IJCAI 2021 - Workshop on AI for Social Good,,,,OPIS (1),,
IJCAI 2022 - 31st International Joint Conference on Artificial Intelligence,,,,,ROBOTLEARN (1),
IJCAI 2022 - International Joint Conference on Artificial Intelligence,,,,,COATI (1),
IJCAI 2022 - Thirty-First International Joint Conference on Artificial Intelligence,,,,,WIMMICS (1),
IJCAI 2022- 31st International Joint Conference on Artificial Intelligence,,,,,ORPAILLEUR (1),
IJCAI 2023 - 32nd International Joint Conference on Artificial Intelligence,,,,,,TITANE (1) MIMETIC (1)
IJCAI 2023 - The 32nd International Joint Conference on Artificial Intelligence,,,,,,TAU (1)
"IJCAI ECAI 2018 - 6th International Workshop ""What can FCA do for Artificial Intelligence?""",ORPAILLEUR (1),,,,,
IJCAI Workshop on Artificial Intelligence Safety (AI Safety),,,,OPIS (1),,
IJCAI Workshop on Learning and Reasoning: Principles and Applications to Everyday Spatial and Temporal Knowledge (IJCAI-ECAI 2018),ORPAILLEUR (1),,,,,
IJCAI-19 - 28th International Joint Conference on Artificial Intelligence,,TAU (1),,,,
IJCAI-2019 - Twenty-Eighth International Joint Conference on Artificial Intelligence,,POLARIS (1),,,,
IJCAI-ECAI 2018 - 27th International Joint Conference on Artificial Intelligence and the 23rd European Conference on Artificial Intelligence,POLARIS (1),,,,,
IJCAI-ECAI 2022  - 31st International Joint Conference on Artificial Intelligence,,,,,HiePACS (1) Scool (1),
IJCAI-ECAI 2022 - 31st International Joint Conference on Artificial Intelligence - 25th European Conference on Artificial Intelligence,,,,,VALDA (1) BOREAL (1),
IJCAI-ECAI: International Joint Conference on Artificial Intelligence - European Conference on Artificial Intelligence,GRAPHIK (1),,,,,
IJCAI-PRICAI 2020 -  29th International Joint Conference on Artificial Intelligence and the 17th Pacific Rim International Conference on Artificial Intelligence,,,,VALDA (1),,
IJCAI-PRICAI 2020 - 29th International Joint Conference on Artificial Intelligence - Pacific Rim International Conference on Artificial Intelligence,,,MAASAI (1),,,
IJCAI-PRICAI 2020 - 29th International Joint Conference on Artificial Intelligence and the 17th Pacific Rim International Conference on Artificial Intelligence,,,MAASAI (1),,,
IJCAI-PRICAI 2020 - Workshop on Explainable Artificial Intelligence (XAI),,,,LACODAM (1) TYREX (1),,
IJCAI-PRICAI-20 - Twenty-Ninth International Joint Conference on Artificial Intelligence and Seventeenth Pacific Rim International Conference on Artificial Intelligence,,,VALDA (1) TAU (1),,,
IJCAR 2018 - 9th International Joint Conference on Automated Reasoning,VERIDIS (4),,,,,
IJCAR 2018 - International Joint Conference on Automated Reasoning,TOCCATA (1),,,,,
IJCAR 2020 (Part I) International Joint Conference on Automated Reasoning,,,VERIDIS (1),,,
IJCAR 2020 - 10th International Joint Conference,,,PARTOUT (1),,,
IJCAR 2020 - International Joint Conference on Automated Reasoning,,,CAMUS (1) LS2N - équipe GALLINETTE (1) CAMBIUM (1) STAMP (1),,,
IJCAR 2020- International Joint Conference on Automated Reasoning,,,CELTIQUE (1),,,
IJCAR 2022 - International Joint Conference in Automated Reasoning,,,,,VERIDIS (1),
IJCAR 2022 - International Joint Conference on Automated Reasoning,,,,,DEDUCTEAM (1),
"IJCAR, International Joint Conference in Automated Reasoning",,,,,VERIDIS (2),
IJCB 2022 - IEEE International joint conference on biometrics,,,,,STARS (1),
IJCCI 2018 - 10th International Joint Conference on Computational Intelligence,Mnemosyne (1),,,,,
IJCNN - International Joint Conference on Neural Networks,,Flowers (1),,,,
IJCNN 2018 - International Joint Conference on Neural Networks,TAU (1),,,,,
IJCNN 2019 - International Joint Conference on Neural Networks,,Flowers (1) NEUROSYS (1) TAU (1) LinkMedia (1) OPIS (1),,,,
IJCNN 2020 - International Joint Conference on Neural Networks,,,Mnemosyne (1) VALDA (1),,,
IJCNN 2021 - International Joint  Conference on Neural Networks,,,,AGORA (1) AGORA (1),,
IJCNN 2021 - International Joint Conference on Neural Networks,,,,STARS (2) Flowers (1) Mnemosyne (1),,
IJCNN 2022 - 2022 International Joint Conference on Neural Networks,,,,,ERMINE (1),
IJCNN 2022 - IEEE International Joint Conference on Neural Networks,,,,,ZENITH (1),
IJCNN 2022 - International Joint Conference on Neural Networks,,,,,Scool (1) TAU (1),
IJCNN 2023 - International Joint Conference on Neural Networks,,,,,,TAU (1)
IM 2019 - The 16th IFIP/IEEE Symposium on Integrated Network and Service Management,,RESIST (4),,,,
IM 2019 - The 16th IFIP/IEEE Symposium on Integrated Network and Service Management - Demo session,,RESIST (1),,,,
IM 2021 - 17th IFIP/IEEE International Symposium on Integrated Network Management,,,,RESIST (5) COAST (1) MYRIADS (1),,
IM 2021 - IFIP/IEEE International Symposium on Integrated Network Management (Demo),,,,RESIST (1),,
IMAC 2020 - 38th International Modal Analysis Conference,,,I4S (1),,,
IMAC-XL 2022 - 40th Conference and Exposition on Structural Dynamics,,,,,I4S (2),
IMACS 2023 - 21st World Congress of the International Association for Mathematics and Computers in Simulation,,,,,,MACBES (1)
IMACS23 - 21st IMACS World congress,,,,,,INOCS (1)
IMAGE 2021 - Society of Exploration Geophysicists Annual Meeting and Exposition,,,,MAKUTU (2),,
IMC 2021 - ACM Internet Measurement Conference,,,,POLARIS (1),,
IMFW 2021 - International Microwave Filter Workshop,,,,FACTAS (3),,
IMMERSE 2019 - IMMERSE Kick-Off Meeting,,AIRSEA (1),,,,
IMOL 2023 - Intrinsically Motivated Open-ended Learning workshop at NeurIPS 2023,,,,,,Flowers (1)
IMOL 2023 - The 6th International Workshop on Intrinsically Motivated Open-ended Learning,,,,,,Flowers (1)
IMPACT 2018,Parkas (1),,,,,
IMPACT 2018 - 8th International Workshop on Polyhedral Compilation Techniques,CAMUS (1),,,,,
IMPACT 2019 - 9th International Workshop on Polyhedral Compilation Techniques,,CAIRN (1),,,,
"IMPACT 2019 - 9th International Workshop on Polyhedral Compilation Techniques, In conjunction with HiPEAC 2019",,CAMUS (1),,,,
IMPACT 2020 - 10th International Workshop on Polyhedral Compilation Techniques,,,CAMUS (1) Parkas (1),,,
"IMPACT 2020, in conjunction with HiPEAC 2020",,,CAMUS (2),,,
"IMPACT 2021 - International Microsystems, Packaging, Assembly and Circuits Technology conference",,,,TARAN (1),,
IMPACT 2022 - 12th International Workshop on Polyhedral Compilation Techniques,,,,,Parkas (1) KAIROS (1) CORSE (1),
IMPACT 2023,,,,,,CAMUS (2)
IMPACT 2023 - 13th International Workshop on Polyhedral Compilation Techniques,,,,,,TARAN (1)
"IMPACT 2023, 13th International Workshop on Polyhedral Compilation Techniques",,,,,,CAMUS (1)
IMPACT'22 - 12th International Workshop on Polyhedral Compilation Techniques,,,,,CASH (1),
IMPAQTS (Implicit Manipulation in Politics – Quantitatively Assessing the Tendentiousness of Speeches) final conference,,,,,,SEMAGRAMME (1)
IMPEX 2017:  1st International Workshop on Handling IMPlicit and EXplicit knowledge in formal system development,VERIDIS (1),,,,,
IMPT 2021 - Ecole d'automne 2021 - Institut des Mathématiques pour la Planète Terre - Impacts morphologiques du changement climatique,,,,AIRSEA (1),,
IMR 2019 - 28th International Meshing Roundtable,,GAMMA (1),,,,
IMR 2021 - 29th International Meshing Roundtable,,,,PIXEL (1),,
IMT-Atlantique & Kyoto University & RIKEN joint Data Assimilation workshop,,,,,,ODYSSEY (1)
IMVIP 2018 - Irish Machine Vision and Image Processing Conference,PERVASIVE (1) IMAGINE (1),,,,,
IMX 2020 - ACM International Conference on Interactive Media Experiences,,,BIOVISION (1),,,
IMX 2021 - XR in Games,,,,WIMMICS (1) BIOVISION (1),,
IMX 2023 - ACM International Conference on Interactive Media Experiences,,,,,,Hybrid (1)
INC 2019 - IEEE International Nanodevices and Computing,,CAIRN (1),,,,
INDICON 2021: IEEE 18th India Council International Conference,,,,DIONYSOS (1),,
INDOCRYPT 2019 - The 20th International Conference on Cryptology in India,,CARAMBA (1),,,,
INDOCRYPT 2020 - 21st International Conference on Cryptology in India,,,OURAGAN (1),,,
INDOCRYPT 2022  - 23rd International Conference on Cryptology in India,,,,,CASCADE (1),
INDOCRYPT 2022: 23rd International Conference on Cryptology in India,,,,,CAPSULE (1),
INDOCRYPT 2023 - 24th International Conference on Cryptology in India,,,,,,CAPSULE (1) CHROMA (1)
INFOCOM 2018 - IEEE International Conference on Computer Communications,DIANA (1) DYOGENE (1) MIMOVE (1) NEO (1) POLARIS (1),,,,,
INFOCOM 2018 – 37th Annual IEEE International Conference on Computer Communications,AGORA (1),,,,,
INFOCOM 2019 - IEEE International Conference on Computer Communications,,COATI (1) DYOGENE (1) DIONYSOS (1) WIDE (1) POLARIS (1),,,,
INFOCOM 2021 - IEEE International Conference on Computer Communications,,,,DIANA (1) MIMOVE (1) NEO (1) WIDE (1),,
INFOCOM WKSHPS 2018 - IEEE International Conference on Computer Communications,MYRIADS (1) LS2N - équipe STACK (1),,,,,
INFOCOM WKSHPS 2020 - IEEE Conference on Computer Communications Workshops,,,TRiBE (1),,,
INFORMS 2022 - INFORMS Annual Meeting,,,,,INOCS (1),
INFORMS Annual Meeting 2019,,INOCS (1),,,,
INFORSID 2018 - 36ème édition d'INFormatique des ORganisations et Systèmes d'Information et de Décision,RMOD (1),,,,,
INFORSID 2022 - INFormatique des ORganisations et Systèmes d'Information et de Décision,,,,,COAST (1),
INFORSID 2023 - INFormatique des ORganisations et Systèmes d'Information et de Décision,,,,,,VALDA (1)
INL 2020 - 9th Conference on Artificial Intelligence and Natural Language,,,NEO (1),,,
INNSBDDL 2019 - INNS Big Data and Deep Learning,,MULTISPEECH (1),,,,
INOC 2019 - 9th International Network Optimization Conference,,Realopt (1),,,,
INTER-NOISE and NOISE-CON Congress and Conference Proceedings,,,,MULTISPEECH (1),,
INTERACT 2019 - 17th IFIP Conference on Human-Computer Interaction,,EX-SITU (1) ILDA (1),,,,
INTERACT 2023 -  19th IFIP International Conference of Technical Committee 13 (Human- Computer Interaction),,,,,,WIMMICS (1)
INTERACT 2023 - 19th IFIP TC13 International Conference,,,,,,WIMMICS (1)
INTERNATIONAL CONFERENCE OF NUMERICAL ANALYSIS AND APPLIED MATHEMATICS ICNAAM 2019,,,TONUS (1),,,
INTERSPEECH 2019 - 20th Annual Conference of the International Speech Communication Association,,MULTISPEECH (8) MAGNET (1),,,,
INTERSPEECH 2020,,,MULTISPEECH (11) MAGNET (3),,,
INTERSPEECH 2020 -  Annual Conference of the International Speech Communication Association,,,CoML (1),,,
INTERSPEECH 2020 - Annual Conference of the International Speech Communication Association,,,ALMAnaCH (1) CoML (1),,,
INTERSPEECH 2020 Show & Tell,,,MULTISPEECH (1),,,
INTERSPEECH 2021,,,,MULTISPEECH (8) GeoStat (1),,
INTERSPEECH 2021 - Annual Conference of the International Speech Communication Association,,,,CoML (1),,
INTERSPEECH 2022,,,,,MULTISPEECH (2) GeoStat (1),
INTERSPEECH 2022 - Conference of the International Speech Communication Association,,,,,Thoth (1),
INTERSPEECH 2022 - Human and Humanizing Speech Technology,,,,,MULTISPEECH (1),
INTERSPEECH 2023,,,,,,MULTISPEECH (2) ALMAnaCH (1) CoML (1)
INTERSPEECH 2023 - 24th Annual Conference of the International Speech Communication Association,,,,,,ALMAnaCH (1) CoML (1)
INTERSPEECH 2023 - 24th INTERSPEECH Conference,,,,,,Mnemosyne (2)
"INdAM Workshop ""Mathematical and Numerical Modeling of the Cardiovascular System""",CARMEN (1),,,,,
"IOBC-WPRS WGs 2023  -  Integrated control in protected crops, temperate and mediterranean climate",,,,,,MACBES (1)
IOLTS 2022 - 28th IEEE International Symposium on OnLine Testing and Robust System Design,,,,,TARAN (1),
IOLTS 2022 – 28th IEEE International Symposium on OnLine Testing and Robust System Design,,,,,TARAN (1),
IOLTS 2023 - IEEE 29th International Symposium on On-Line Testing and Robust System Design,,,,,,TARAN (1)
IOMAC 2019 - 8th International Operational Modal Analysis Conference,,I4S (4) I4S (2),,,,
IOMAC 2022 - 9th International Operational Modal Analysis Conference,,,,,I4S (4),
IPAW 2020-2021 - 8th and 9th International Provenance and Annotation Workshop,,,,ZENITH (1),,
IPC-1 - First Instruction Prefetching Championship,,,PACAP (2),,,
IPCAI 2018 - 9th International Conference on Information Processing in Computer-Assisted Interventions,MAGRIT (1) MIMESIS (1),,,,,
IPCAI 2020 - The 11th International Conference on Information Processing in Computer-Assisted Interventions,,,MIMESIS (1),,,
IPDPS - 2020 - IEEE International Parallel and Distributed Processing Symposium Workshops,,,ROMA (1) STORM (1),,,
IPDPS - 2022 - IEEE International Parallel and Distributed Processing Symposium Workshops,,,,,TADAAM (1),
IPDPS - 2023 IEEE International Parallel and Distributed Processing Symposium,,,,,,MYRIADS (1)
IPDPS 2018 - 32nd IEEE International Parallel & Distributed Processing Symposium,TADAAM (1),,,,,
IPDPS 2018 - 32nd IEEE International Parallel and Distributed Processing Symposium,ROMA (1),,,,,
IPDPS 2019 - 33rd IEEE International Parallel & Distributed Processing Symposium,,ROMA (1) DATAMOVE (1) LS2N - équipe STACK (1) POLARIS (1),,,,
IPDPS 2019 - 33rd IEEE International Parallel and Distributed Processing Symposium,,TADAAM (2) Realopt (1) HiePACS (1) ROMA (1),,,,
IPDPS 2019 - 33rd IEEE International Parallel and Distributed Processing Syposium,,DIONYSOS (1) WIDE (1),,,,
IPDPS 2020 - 34th IEEE International Parallel and Distributed Procesing Symposium,,,HiePACS (1) ALPINES (1),,,
IPDPS 2020 - 34th IEEE International Parallel and Distributed Processing Symposium,,,ROMA (1) TADAAM (1),,,
IPDPS 2020 - IEEE International Parallel and Distributed Processing Symposium,,,ERABLE (1),,,
IPDPS 2021 - 35th IEEE International Parallel and Distributed Processing Symposium,,,,TADAAM (1),,
IPDPS 2021 - IEEE International Parallel and Distributed Processing Symposium,,,ROMA (1),ROMA (1),,
IPDPS 2021 - The 35th IEEE International Parallel and Distributed Processing Symposium,,,,WIDE (1),,
IPDPS 2022 - 36th IEEE International Parallel & Distributed Processing Symposium,,,,,STORM (2) ROMA (2) POLARIS (1),
IPDPS 2022 - 36th IEEE International Parallel and Distributed Processing Symposium,,,,,HiePACS (1),
IPDPS 2023 - 37th IEEE International Parallel & Distributed Processing Symposium,,,,,,ALPINES (1) TOPAL (1)
IPDPS 2023 - 37th International Parallel and Distributed Processing Symposium,,,,,,PLEIADE (1) TOPAL (1) CONCACE (1)
