Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0468FR;MEXICO;EP;principal;Haar;Stefan;01-01-2011;30-06-2023;Principal;Centre Inria de Saclay;ENS Paris-Saclay - Laboratoire Méthodes Formelles (LMF);Terminée;30/06/2023;;Modeling and Exploitation of Interaction and Concurrency;Modeling and Exploitation of Interaction and Concurrency;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;CNRS, UNIV. PARIS-SACLAY;CNRS, Université Paris-Saclay;INS2I;LMF [LSV, LRI];Laboratoire de Méthodes Formelles;01/01/2011;30/06/2023;22/03/2011, 17/03/2015, 20/03/2019;200920937Y;;7206-C, 11317-P, 14025-P, 15858-P, 16253-F;111048-1;;;
SR0835ZR;MFX;EP;principal;Lefebvre;Sylvain;01-11-2019;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Décision signée;01/11/2019;30/06/2028;Informatique graphique pour la fabrication numérique;Matter from Graphics;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;U. DE LORRAINE;Université de Lorraine;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/03/2018;30/06/2028;;201822795D;;12760-C, 13454-P, 13736-P, 13963-C, 16222-P, 16986-P;051110-0;fabrication additive, modélisation 3d, tranchage, impression 3d;3d modeling, additive manufacturing, slicing, process planning;
SR0910BR;MICROCOSME;EP;principal;Ropers;Delphine;01-10-2021;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/10/2021;31/12/2027;Analyse, inge?nierie et contro?le des micro-organismes;Analysis, engineering, and control of microorganisms;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;UGA;Université de Grenoble Alpes;;;;01/10/2021;31/12/2027;;202124114Z;;15003-C, 15196-P, 16553-P;071141-0;Analyse, ingénierie et contrôle des micro-organismes;Analysis, engineering, and control of microorganisms;
SR0711RR;MIMESIS;EP;principal;Cotin;Stephane;01-05-2021;;Principal;Centre Inria de l'Université de Lorraine;Bâtiment eXplora Strasbourg;Décision signée;01/05/2021;31/12/2027;Simulation médicale guidée par les données;Computational Anatomy and Simulation for Medicine;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;CNRS, U. STRASBOURG;CNRS, Université de Strasbourg;INS2I;ICUBE [];Laboratoire des sciences de l'ingénieur, de l'informatique et de l'imagerie;01/07/2015;31/12/2027;15/05/2022;201521769B;;11092-C, 11680-P, 11958-P, 12586-P, 13281-P, 14039-P, 14231-P, 14326-P, 14446-P, 14549-P, 14790-P, 14805-C, 15197-P, 16555-P;051100-0;Biomécanique, Modélisation, Simulation en temps réel, Méthodes numériques, Maillage et modifications topologiques, Thérapie guidée par l'image, Réalité augmentée, Robotique médicale, Logiciels libres, Neurosciences;Biomechanics, Modeling, Real-time simulation, Numerical methods, Meshing and topological changes, Image-guided therapy, Augmented reality, Medical robotics,Open source software, Neuroscience;
SR0592XR;MIMETIC;EP;principal;Multon;Franck;01-01-2014;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/01/2014;30/06/2025;Analysis-Synthesis Approach for Virtual Human Simulation;Analysis-Synthesis Approach for Virtual Human Simulation;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;U. RENNES 2, ENS RENNES, U. RENNES;Université Haute Bretagne (Rennes 2), École normale supérieure de Rennes, Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS], M2S [U. RENNES 2];Institut de recherche en informatique et systèmes aléatoires (IRISA), Mouvement, Sport, Santé (M2S);01/01/2014;30/06/2025;15/10/2014, 03/10/2018;201120991Y;;9524-C, 11313-P, 13729-P, 16222-P, 16986-P;031096-1;humain virtuel, biomécanique, analyse et synthèse du mouvement, réalité virtuelle;Virtual Human, biomechanics, motion analysis and Synthesis, Virtual Reality;
SR0829ZR;MIMOVE;EP;principal;Georgantas;Nikolaos;01-02-2018;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/02/2018;30/06/2026;Middleware on the Move;Middleware on the Move;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;;;;;;01/02/2018;30/06/2026;07/10/2021;201421139W;;12593-C, 14890-P, 15700-P;021128-1;Middleware, Génie logiciel, Systèmes distribués mobiles, Perception (sensing) physique et sociale, Internet des objets, Internet du futur, Architecture orientée services;Middleware, Software Engineering, Mobile Distributed Systems, Physical And Social Sensing, Internet Of Things, Future Internet, Service Oriented Computing;
SR0921IR;MIND;EP;principal;Ciuciu;Philippe;01-11-2022;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/04/2022;31/03/2026;modèles et inférence pour les données de Neuroimagerie;Models and Inference for Neuroimaging Data;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;CEA-SACLAY;Centre CEA-Saclay;;CEA NEUROSPIN [CEA-SACLAY, I2BM];Département NEUROSPIN;01/04/2022;31/03/2026;;202224253W;;15367-C, 15895-CR, 15896-N;111104-0;;;
SR0847MR;MINGUS;EP;principal;Crouseilles;Nicolas;01-08-2018;;Principal;Centre Inria de l'Université de Rennes;Institut de recherche mathématique de Rennes;Décision signée;01/08/2018;31/12/2026;Schémas numériques géométriques multi-échelles;MultI-scale Numerical Geometric Schemes;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;ENS RENNES, CNRS, U. RENNES;École normale supérieure de Rennes, CNRS, Université de Rennes;INSMI;IRMAR [U. RENNES 1, ENS CACHAN, CNRS, INSA RENNES, U. RENNES 2];Institut de recherche mathématique de Rennes (IRMAR);01/08/2018;31/12/2026;12/01/2022;201822635E;;13002-C, 15855-P, 16224-P;031129-1;;;
SR0010YR;MISTIS;EP;principal;Forbes;Florence;01-01-2008;31-03-2020;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Terminée;04/06/2020;;Modélisation et Inférence  de phenomenes aléatoires complexes et structures;Modelling and Inference of Complex and Structured Stochastic Systems;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;GRENOBLE INP, UGA;Institut polytechnique de Grenoble, Université de Grenoble Alpes;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/01/2008;31/03/2020;17/03/2010, 19/03/2014, 14/03/2018;200818259S;;6179-C, 8031-P, 10552-P, 13244-P, 14035-P;071018-1;Modélisation et Inférence statistique, Analyse d'image, Traitement du signal;Statistical Inference and models, Image Analysis, Signal Processsing;
SR0639GR;MNEMOSYNE;EP;principal;Alexandre;Frederic;01-07-2014;;Principal;Centre Inria de l'université de Bordeaux;Institut des Maladies Neurodégénératives;Décision signée;01/07/2014;30/06/2026;Mnemonic Synergy;Mnemonic Synergy;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;U. DE BORDEAUX, CNRS, BORDEAUX INP;Université de Bordeaux, CNRS, Institut Polytechnique de Bordeaux;INS2I;LABRI [CNRS];Laboratoire Bordelais de Recherche en Informatique (LaBRI);01/07/2014;30/06/2026;10/10/2017, 15/05/2022;201221051J;;9897-C, 13242-P, 15197-P, 16555-P;091056-1;Neurosciences Computationnelles, Apprentissage Automatique, Robotique Autonome, Prise de Décision, Mémoire, Systèmes Adaptatifs;Computational Neuroscience, Machine Learning, Autonomous Robotics, Decision Making, Memory, Adaptive Systems;
SR0828JR;MOCQUA;EP;principal;Perdrix;Simon;01-01-2022;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Décision signée;01/03/2020;31/12/2024;Modèles de calcul émergents;Designing the Future of Computational Models;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;U. DE LORRAINE, CNRS;Université de Lorraine, CNRS;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/01/2018;31/12/2024;;201822770B;;12607-C, 13282-P, 13735-P, 14045-P, 14160-C, 15226-CR, 15227-N, 16352-M, 16660-P, 16998-P;051109-0;;"Quantum Computing; Logic in Computer Science; Calculability and computability; Discrete mathematics, combinatorics;  Topology";
SR0518VR;MODAL;Equipe;principal;Preda;Cristian;01-12-2020;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;En cours de fermeture;01/01/2024;31/12/2024;MOdel for Data Analysis and Learning;MOdel for Data Analysis and Learning;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;CNRS, UNIVERSITE DE LILLE;CNRS, Université de Lille;INSMI;LPP [U. LILLE 1 (USTL), CNRS];Laboratoire Paul Painlevé (LPP);01/01/2012;31/12/2024;19/03/2014, 14/03/2018, 01/12/2022;201020969D;;8640-C, 10552-P, 13244-P, 14558-CR, 14559-N, 15814-P, 16760-P, 17109-P;101037-1;Analyse de données (visualisation, segmentation), apprentissage (supervisé et semi-supervisé, estimation de densité);data analysis (visualization, clustering), data learning (supervised and semi-supervised classification, density estimation);
SR0810WR;MOEX;EP;principal;Euzenat;Jerome;01-11-2017;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/11/2017;31/12/2024;Evolution de la connaissance;Evolving Knowledge;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;UGA;Université de Grenoble Alpes;INS2I;LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire d'Informatique de Grenoble (LIG);01/11/2017;31/12/2024;03/10/2019;201722226P;;12498-C, 14331-P, 16994-P;071010-2;intelligence artificielle, représentation de connaissance, évolution culturelle, web sémantique, liage de données;artificial intelligence, knowledge representation, cultural evolution, semantic web, data interlinking;
SR0716ER;MOKAPLAN;EP;principal;Duval;Vincent;01-01-2023;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/12/2015;31/12/2026;Avancées en calcul numérique des variations;Advances in Numerical Calculus of Variations;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;U. PARIS-DAUPHINE, CNRS;Université Paris-Dauphine, CNRS;INSMI;CEREMADE [CNRS, U. PARIS-DAUPHINE];CEREMADE;01/12/2015;31/12/2026;15/03/2017, 12/01/2022;201321083P;;11306-C, 12548-P, 15187-P, 15855-P, 16224-P, 16415-CR, 16416-N;021122-1;;;
SR0759XR;MONC;EP;principal;Papadakis;Nicolas;01-09-2024;;Principal;Centre Inria de l'université de Bordeaux;Institut Mathématiques de Bordeaux (UMR 5251);Décision signée;01/11/2016;31/12/2027;Modélisation Mathématique pour l'Oncologie;Mathematical modeling for Oncology;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;CNRS, BORDEAUX INP;CNRS, Institut Polytechnique de Bordeaux;INSMI;IMB [CNRS, U. DE BORDEAUX, BORDEAUX INP];Institut de Mathématiques de Bordeaux (IMB);01/11/2016;31/12/2027;15/05/2022;201521155J;;11872-C, 13241-P, 15196-P, 15901-CR, 15902-N, 16553-P, 17244-CR, 17245-N;091062-1;"Modélisation mathématique ; Modélisation continue (EDP, EDO) ; Modélisation multiéchelle ; Analyse numérique des EDP et des EDO ; Méthodes statistiquess ; Optimisation ; Interaction entre calcul et données ; Assimilation de données ; Traitement de données ; Réduction de modèles ; Biologie computationnelle ; Biologie mathématique ; Biologie des systèmes ; Pathologies ; Cancer ; Résistance aux médicaments ; Imagerie cérébrale ; Imagerie biologique";"Modeling (PDE, ODE) ; Multiscale modeling ;  Statistical methods ; Optimization ; Data assimilation and processing ;  Reduced order models ; Computational Biology ; System Biology ; Cancer ; Resistance ; Medical and biological Imaging";
SR0587XR;MORPHEME;EP;principal;Descombes;Xavier;01-07-2013;;Principal;Centre Inria d'Université Côte d'Azur;Laboratoire I3S - Algorithmes - Sophia Antipolis;Décision signée;01/07/2013;30/06/2025;Morphologie et Images;Morphologie et Images;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Biologie numérique;Computational Biology;CNRS, UCA;CNRS, Université Côte d'Azur;INS2I;I3S [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS], IBV [CNRS, INSERM, U. NICE SOPHIA ANTIPOLIS  (UNS)];Laboratoire informatique, signaux systèmes de Sophia Antipolis (I3S), Institut de Biologie de Valrose;01/07/2013;30/06/2025;11/10/2017, 15/05/2022;201120999G;;9469-C, 13243-P, 15193-P, 16554-P;041137-1;"biologie computationnelle;biologie developementale, analyse d'images";"computational biology; developemental biology;image analysis";
SR0618QR;MORPHEO;EP;principal;Franco;Jean;01-11-2022;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/01/2014;31/12/2025;Capture et Analyses de Formes en Mouvement;Capture and Analysis of Shapes in Motion;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;CNRS, UGA;CNRS, Université de Grenoble Alpes;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/01/2014;31/12/2025;16/10/2014, 03/10/2018;201120981M;;9798-C, 11314-P, 13731-P, 15784-CR, 15785-N, 16221-P, 16983-P;071099-1;"5.1.8 Interfaces 3D; 5.4 Vision par ordinateur; 5.4.4 Reconstructions 3D et spatio-temporelles; 5.4.5 Suivi d'objets et analyse de mouvements; 5.5 Informatique graphique; 5.5.1 Modélisation géométrique; 5.5.4 Animation; 5.6  Réalité virtuelle, réalité augmentée; 6.2.8 Géométrie numérique et maillage";"5.1.8 3D User Interfaces; 5.4 Computer Vision; 5.4.4  3D and Spatio-temporal Reconstructions; 5.4.5 Object Tracking and Motion Analysis; 5.5 Computer Graphics; 5.5.1 Geometrical Modeling; 5.5.4 Animation; 5.6  Virtual Reality, augmented reality; 6.2.8 Computational Geometry and meshes";
SR0817DR;MOSAIC;EP;principal;Godin;Christophe;01-07-2019;;Principal;Centre Inria de Lyon;Ecole normale supérieure de Lyon - Laboratoire Reproduction et développement des plantes ( RDP);Décision signée;01/07/2019;31/12/2027;Simulation et Analyse de la morphogene?se in siliCo;MOrphogenesis Simulation and Analysis In siliCo;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Biologie numérique;Computational Biology;ENS LYON, CNRS, INRAE;Ecole normale supérieure de Lyon, CNRS, INRAE;INSB;RDP [CNRS, ENS LYON, U. LYON 1 (UCBL), INRAE, INRIA];Réproduction et Développement des Plantes;01/01/2018;31/12/2027;15/05/2022;201822642M;;12504-C, 13272-P, 13643-C, 15193-P, 16554-P;121017-0;Modélisation des plantes, morphogenèse, modèles de croissance, systèmes dynamiques à structure dynamique, processus stochastiques, fractales, auto-similarité;Plant modelling, morphogenesis, growth models, dynamic system with dynamic structures, stochastic processes, fractals, selfsimilarity;
SR0707BR;MULTISPEECH;EP;principal;Ouni;Slim;01-10-2024;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Décision signée;01/10/2024;30/09/2028;La parole multimodale en interaction;Multimodal Speech in Interaction;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Langue, parole et audio;Language, Speech and Audio;CNRS, U. DE LORRAINE, CNRS, U. DE LORRAINE;CNRS, Université de Lorraine, CNRS, Université de Lorraine;INS2I, INS2I;LORIA [CNRS, INRIA], LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA), Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/07/2015;30/09/2028;02/10/2019, 08/10/2015;201421147E;;11067-C, 11683-P, 14340-P, 15592-CR, 15593-N, 16995-P, 17293-C;051026-2;;;
SR0895VR;MUSCA;EP;principal;Clément;Frederique;01-07-2020;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/07/2020;31/12/2027;Dynamiques de populations multi-échelles pour des systèmes physiologiques;MUltiSCAle population dynamics for physiological systems;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;CNRS, INRAE;CNRS, INRAE;INSB;PRC UMR 7247 [], MAIAGE UR 1404 [];Physiologie de la reproduction et des comportements (PRC), Mathématiques et Informatique Appliquée du Génome à l'Environnement (MAIAGE);01/07/2020;31/12/2027;15/05/2022;202023600V;;14330-C, 15196-P, 16553-P;111096-0;Modélisation multi-échelles, Biomathématiques, Dynamique de populations, Équations de transport, Processus stochastiques, Réseaux de réactions biochimiques, Biologie du développement, Biologie de la reproduction, Biologie cellulaire, Holobionte, Microbiote, Endocrinologie;Multiscale modeling, Mathematical biology, Population dynamics, Transport equations, Stochastic processes, Reaction network dynamics, Developmental biology, Reproductive biology, Cell biology, Holobiont, Microbiota, Endocrinology;
SR0961CR;MUSCLEES;EP;principal;Bliman;Pierre-alexandre;01-06-2024;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/06/2024;31/05/2028;Compréhension mathématique multi-échelles d?écosystèmes vivants complexes avec structures émergentes;Mathematical Understanding across Scales of Complex Living Ecosystems with Emerging Structures;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;CNRS, SORBONNE UNIVERSITE;CNRS, Sorbonne Université;INSMI;LJLL [UPMC, CNRS];Laboratoire Jacques-Louis Lions (LJLL);01/06/2024;31/05/2028;;202424539Y;;17039-C;021167-0;;;
SR0961CR;MUSCLEES;EP;;Bliman;Pierre-alexandre;01-06-2024;; (Non renseigné);Centre Inria de Paris;Sorbonne Université;Décision signée;01/06/2024;31/05/2028;Compréhension mathématique multi-échelles d?écosystèmes vivants complexes avec structures émergentes;Mathematical Understanding across Scales of Complex Living Ecosystems with Emerging Structures;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;CNRS, SORBONNE UNIVERSITE;CNRS, Sorbonne Université;INSMI;LJLL [UPMC, CNRS];Laboratoire Jacques-Louis Lions (LJLL);01/06/2024;31/05/2028;;202424539Y;;17039-C;021167-0;;;
SR0965BR;MUSICS;EP;principal;Lepoutre;Thomas;01-07-2024;;Principal;Centre Inria de Lyon;Centre de recherche Inria de Lyon;Décision signée;01/07/2024;30/06/2028;Systèmes de cellules avec interactions multi-échelles;MUltiScale Interacting Cell Systems;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;U. LYON 1 (UCBL), CNRS, ENS LYON;Université Claude Bernard (Lyon 1), CNRS, Ecole normale supérieure de Lyon;INSB, INSMI;ICJ [], LBMC [];Institut Camille Jordan, Laboratoire de Biologie et Modélisation de la Cellule;01/07/2024;30/06/2028;;202424549J;;17092-C;121033-0;multi-échelles, dynamique de populations, EDP, EDO, équations à retard, réseaux de régulation de gènes;"Multiscale modelling; Gene regulatory network inference; PDE and ODE. Population dynamics";
SR0965BR;MUSICS;EP;;Lepoutre;Thomas;01-07-2024;; (Non renseigné);Centre Inria de Lyon;Université Claude Bernard Lyon 1 - Gerland;Décision signée;01/07/2024;30/06/2028;Systèmes de cellules avec interactions multi-échelles;MUltiScale Interacting Cell Systems;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;U. LYON 1 (UCBL), CNRS, ENS LYON;Université Claude Bernard (Lyon 1), CNRS, Ecole normale supérieure de Lyon;INSB, INSMI;ICJ [], LBMC [];Institut Camille Jordan, Laboratoire de Biologie et Modélisation de la Cellule;01/07/2024;30/06/2028;;202424549J;;17092-C;121033-0;multi-échelles, dynamique de populations, EDP, EDO, équations à retard, réseaux de régulation de gènes;"Multiscale modelling; Gene regulatory network inference; PDE and ODE. Population dynamics";
SR0503GR;MYRIADS;EP;principal;Pierre;Guillaume;01-01-2019;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;31/12/2023;;Conception et mise en oeuvre de systèmes distribués autonomes;Design and Implementation of Autonomous Distributed Systems;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;INSA RENNES, CNRS, ENS RENNES, U. RENNES;Institut national des sciences appliquées de Rennes, CNRS, École normale supérieure de Rennes, Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2012;31/12/2023;09/10/2012, 13/10/2016, 07/10/2021;201020965Z;;8329-C, 9528-P, 12277-P, 12647-CR, 12648-N, 13528-?, 14890-P, 15700-P;031088-1;systèmes répartis, services, systèmes autonomes, adaptation, cloud computing, fog computing, edge computing;Distributed systems, Services, Autonomous Systems, Adaptation, Cloud computing, Fog computing, Edge computing;
SR0173VR;NACHOS;EP;principal;Lanteri;Stephane;01-07-2007;31-01-2020;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Terminée;31/01/2020;;Modélisation numérique et calcul intensif pour des problèmes d'évolution en domaines complexes et milieux hétérogènes;Numerical modeling and high performance computing for evolution problems in complex domains and heterogeneous media;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS;Université Nice - Sophia Antipolis, CNRS;INSMI;LJAD [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS];Laboratoire Jean-Alexandre Dieudonné (JAD);01/07/2007;31/01/2020;17/03/2009, 27/03/2013, 15/03/2017;200718401A;;5657-C, 7008-P, 9851-P, 12548-P, 13732-P, 14034-P, 14134-F;041100-0;analyse numérique,;computational electromagnetics,;
SR0849TR;NANO-D;;principal;Grudinin;Sergey;01-10-2018;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Terminée;31/12/2020;;Algorithms for Modeling and Simulating Nanosystems;Algorithmes pour la Modélisation et la Simulation de Nanosystèmes;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;;;;;;01/10/2018;31/12/2020;;201822861A;;12979-C, 14586-F;071073-2;;structural bioinformatics, machine learning, integrative structural biology, scattering tools, polynomial expansions;
SR0863XR;NECS;;principal;Canudas-de-wit;Carlos;01-01-2019;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Terminée;01/02/2021;;Systèmes Commandés en Réseau;Networked Controlled Systems;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;;;;;;01/01/2019;01/02/2021;;201922978Y;;13268-C, 14030-P, 14359-P, 14427-P, 14585-P, 14690-F;071064-1;commande de systèmes complexes, réseau de capteurs, conception conjointe commande, calcul et communication;control of complex systems, sensor networks, control computing and communication codesign;
SR0809ZR;NEO;EP;principal;Jean-marie;Alain;01-12-2017;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/12/2017;31/12/2025;Ingénierie et Opérations des Réseaux;Network Engineering and Operations;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;;;;;;01/12/2017;31/12/2025;17/03/2020;201722224M;;12489-C, 14583-P, 15179-P;041155-1;Recherche Opérationnelle Stochastique, Ingénierie des Réseaux;Stochastic Operations Research, Network Engineering;
SR0948QR;NERV;EP;principal;De vico fallani;Fabrizio;01-10-2023;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/10/2023;30/09/2027;Neuroingénierie des systèmes pour modéliser et interfacer les réseaux cérébraux;Systems neuroengineering to model and interface brain networks;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;CNRS, INSERM, SORBONNE UNIVERSITE;CNRS, INSERM, Sorbonne Université;INSB;;;01/10/2023;30/09/2027;;202324451G;;16504-C;021164-0;;Signal processing, network science, complex systems, machine learning, brain-computer interfaces, neuroimaging, clinical neuroscience;
SR0710HR;NEUROSYS;EP;principal;Bougrain;Laurent;01-07-2015;;Par intérim;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Terminée;31/12/2020;;Analysis and modeling of neural systems by a system neuroscience approach;Analysis and modeling of neural systems by a system neuroscience approach;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;U. DE LORRAINE, CNRS;Université de Lorraine, CNRS;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/07/2015;31/12/2020;10/10/2017;201321089W;;11072-C, 11368-N, 12092-?, 12768-?, 12987-?, 13242-P, 13307-?, 14626-F;051099-1;neurosciences computationelles, réseaux de neurones, système dynamique, boucle sensori-motrice, mémoire, anesthésie générale, interfaces cerveau-ordinateur, biorobotique;computational neuroscience, neural networks, dynamic system, memory, sensori-motor loop, general anaesthesia, brain-machine interfaces, biorobotics;
SR0262VR;NUMED;EP;principal;Grenier;Emmanuel;01-01-2009;;Principal;Centre Inria de Lyon;Ecole normale supérieure de Lyon - Unité des Mathématiques Pures et Appliquées (UMPA);Terminée;01/01/2022;;Modélisation numérique en médecine;Numerical Medicine;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;;;INSMI;;;01/01/2009;01/01/2022;07/10/2009, 15/10/2013, 12/10/2017;200919006Z;;6689-C, 10209-P, 13241-P, 14588-P, 14817-P;071088-1;biomathématiques, simulations numériques, optimisation, cancer, maladies neurologiques, infections;biomathematical models, simulations, optimisation, cancer, neurological diseases, infection;
