Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);
"SR0723YR";"LACODAM";"Equipe";principal;"Termier";"Alexandre";"01-01-2016";"31-12-2016";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/10/2017";"";"Large Scale Collaborative Data Mining";"Large Scale Collaborative Data Mining";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Représentation et traitement des données et des connaissances";"Data and Knowledge Representation and Processing";"";"";"";"";"";"01/01/2016";"31/10/2017";"";"201622044W";"";"11324-C, 11898-P, 12380-P, 12468-F";"031119-0";"Fouille de données, Intelligence artificielle";"Data Mining, Artificial Intelligence";
"SR0800DR";"LACODAM";"EP";principal;"Termier";"Alexandre";"01-11-2017";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Décision signée";"01/11/2017";"31/12/2024";"Fouille de données collaborative à grande échelle";"Large scale Collaborative Data Mining";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Représentation et traitement des données et des connaissances";"Data and Knowledge Representation and Processing";"INSA RENNES, AGROCAMPUS OUEST, U. RENNES";"Institut national des sciences appliquées de Rennes, Institut national supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage, Université de Rennes";"INS2I";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"01/11/2017";"31/12/2024";"03/10/2019";"201622044W";"";"12110-C, 14331-P, 16994-P";"031119-1";"Fouille de données, Intelligence artificielle";"Data Mining, Artificial Intelligence";
"SR0105PR";"LAGADIC";"EP";principal;"Chaumette";"Francois";"06-12-2004";"31-12-2017";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2017";"";"Asservissement visuel en robotique, vision et animation";"Visual servoing in robotics, computer vision, and augmented reality";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Robotique et environnements intelligents";"Robotics and Smart environments";"U. RENNES 1, CNRS, INSA RENNES";"Université Rennes 1, CNRS, Institut national des sciences appliquées de Rennes";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"06/12/2004";"31/12/2017";"18/03/2009, 28/03/2013, 16/03/2017";"200418341Y";"";"4411-C, 5155-P, 7009-P, 8695-B, 9868-P";"031016-0";"Asservissement visuel, vision robotique, réalité augmentée";"visual servoing, visual tracking, robotics, computer vision, augmented reality";
"SR0105PR";"LAGADIC";"EP";;"Chaumette";"Francois";"02-04-2012";"31-12-2013";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/2017";"";"Asservissement visuel en robotique, vision et animation";"Visual servoing in robotics, computer vision, and augmented reality";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Robotique et environnements intelligents";"Robotics and Smart environments";"U. RENNES 1, CNRS, INSA RENNES";"Université Rennes 1, CNRS, Institut national des sciences appliquées de Rennes";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"06/12/2004";"31/12/2017";"18/03/2009, 28/03/2013, 16/03/2017";"200418341Y";"";"4411-C, 5155-P, 7009-P, 8695-B, 9868-P";"041140-0";"Asservissement visuel, vision robotique, réalité augmentée";"visual servoing, visual tracking, robotics, computer vision, augmented reality";
"SR0126ZR";"LANDE";"EP";principal;"Jensen";"Thomas";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2008";"";"Conception et validation de logiciels";"Software design and validation";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Programmation, vérification et preuves";"Programs, Verification and Proofs";"U. RENNES 1, ENS CACHAN, CNRS, INSA RENNES";"Université Rennes 1, Ecole normale supérieure de Cachan, CNRS, Institut national des sciences appliquées de Rennes";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"04/10/1994";"31/12/2008";"";"199418361N";"";"5789-P, 6490-F";"031017-0";"mise au point de programme,débogage,test,validation,vérification,analyse statique,analyse dynamique,type,architecture logicielle,langage fonctionnel,programmation logique,environnement d";"program development,debugging,test,validation,verification,static analysis,dynamic analysis,type,software architecture,functional language,logic programming,programming environment,software engineerin";
"SR0245YR";"LANGUE ET DIALOGUE";"EP";principal;"Blackburn";"Patrick";"";"";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/12/2006";"";"Dialogue homme-machine à forte composante langagière";"Human-machine dialogue with a significant language component";"Systèmes symboliques";"Symbolic systems";"Organisation des contenus et de la langue";"Management and processing of language and data";"";"";"";"";"";"01/01/1994";"31/12/2006";"";"199421391G";"";"3620-P, 4459-CR, 4460-N, 4884-N, 5156-P, 5584-F";"051016-0";"";"";
"SR0684OR";"LARSEN";"Equipe";principal;"Charpillet";"Francois";"01-01-2015";"30-06-2015";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"30/11/2017";"";"Lifelong Autonomy and interaction skills for Robots in a Sensing ENvironment";"Lifelong Autonomy and interaction skills for Robots in a Sensing ENvironment";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Robotique et environnements intelligents";"Robotics and Smart environments";"";"";"";"";"";"01/01/2015";"30/11/2017";"";"201521241C";"";"10689-C, 11089-P, 11679-P, 11956-F";"051101-0";"robotique, apprentissage, interaction homme-robot, perception";"robotics, machine learning, human-robot interaction, sensing environment, collaborative robotics";
"SR0803ZR";"LARSEN";"EP";principal;"Colas";"Francis";"03-01-2022";"";"Par intérim";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Décision signée";"01/12/2017";"31/12/2024";"Autonomie et interaction au long cours pour des robots en environnements potentiellement sensorisés";"Lifelong Autonomy and interaction skills for Robots in a Sensing ENvironment";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Robotique et environnements intelligents";"Robotics and Smart environments";"U. DE LORRAINE, CNRS";"Université de Lorraine, CNRS";"INS2I";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"01/12/2017";"31/12/2024";"12/01/2022";"201521241C";"";"12298-C, 15192-P, 15340-CR, 15342-N, 15856-P, 15905-N, 17011-P";"051101-1";"";"";
"SR0011YR";"LEAR";"EP";principal;"Schmid";"Cordelia";"01-07-2003";"31-12-2015";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Centre de recherche Inria de l'Université Grenoble Alpes";"Terminée";"31/12/2015";"";"Apprentissage et reconnaissance en vision par ordinateur";"Learning and recognition in vision";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Vision, perception et interprétation multimedia";"Vision, perception and multimedia interpretation";"GRENOBLE INP, CNRS, UJF (GRENOBLE)";"Institut polytechnique de Grenoble, CNRS, Université Joseph Fourier (Grenoble)";"";"LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire Jean Kuntzmann (LJK)";"01/07/2003";"31/12/2015";"20/10/2010, 16/10/2014";"200318260P";"";"3881-C, 5155-P, 7024-P, 8096-P, 11327-F";"071016-0";"vision par ordinateur, reconnaissance, apprentissage";"computer vision, recognition, learning";
"SR0246WR";"LEMME";"EP";principal;"Pottier";"Loic";"";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/2004";"";"Logiciels et mathématiques";"Software and mathematics";"Systèmes symboliques";"Symbolic systems";"Structures algébriques et géométriques, algorithmes";"Algebraic and geometric structures, algorithms";"";"";"";"";"";"01/01/1992";"31/12/2004";"";"199221442W";"";"2968-C, 4355-F";"";"";"";
"SR0615RR";"LEMON";"Equipe";principal;"Rousseau";"Antoine";"01-01-2014";"31-12-2016";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/2018";"";"Littoral, Environnement : Méthodes et Outils Numériques";"Littoral, Environnement : Méthodes et Outils Numériques";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"";"";"";"";"";"01/01/2014";"31/12/2018";"";"201421123D";"";"9797-C, 11921-P, 12460-P, 13231-F";"041144-0";"Modélisation, Littoral, Couplage, Calcul scientifique, Hydrodynamique, Modèles réduits";"Modeling, Coastal area, Coupling, Scientific computing, Environmental modeling, Upscaling";
"SR0853YR";"LEMON";"EP";principal;"Rousseau";"Antoine";"01-01-2019";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Antenne Inria Montpellier - Université Montpellier";"Décision signée";"01/01/2019";"31/12/2027";"Littoral, Environnement, Mode?les et Outils Nume?riques";"Littoral Environment: M0dels and Numerics";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"U. MONTPELLIER, CNRS";"Université de Montpellier, CNRS";"INSU, INSMI";"HSM [U. MONTPELLIER, CNRS], IMAG [CNRS, U. MONTPELLIER, INRIA]";"HydroSciences Montpellier (HSM), Institut Montpelliérain Alexander Grothendieck (IMAG)";"01/01/2019";"31/12/2027";"01/12/2022";"201421123D";"";"13258-C, 15815-P, 16820-P";"041144-1";"Modélisation, Littoral, Couplage, Calcul scientifique, Hydrodynamique, Modèles réduits";"Modeling, Coastal area, Coupling, Scientific computing, Environmental modeling, Upscaling";
"SR0414TR";"LEO";"Equipe";principal;"Manolescu";"Ioana";"";"";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"31/03/2012";"";"Données et connaissances hétérogènes et distribuées";"Distributed and heterogeneous data and knowledge";"Perception, cognition, interaction";"Perception, Cognition, Interaction";"Représentation et traitement des données et des connaissances";"Knowledge and Data Representation and Management";"";"";"";"";"";"01/01/2010";"31/03/2012";"11/10/2011";"201021232P";"";"7046-C, 8443-F";"11055-0";"données, connaissances, interrogation, indexation, raisonnement, intégration de données, distribution, P2P, Web sémantique";"databases, knowledge, query processing, indexing, reasoning, data integration, distributed data, P2P, semantic Web";
"SR0347LR";"LFANT";"Equipe";principal;"Enge";"Andreas";"";"";"Principal";"Centre Inria de l'université de Bordeaux";"Centre Inria de l'université de Bordeaux";"Terminée";"28/02/2010";"";"Théorie algorithmique des nombres rapide et flexible";"Lithe and fast algorithmic number theory";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"";"";"";"";"";"01/03/2009";"28/02/2010";"";"201019622P";"";"6642-C";"091044-0";"";"";
"SR0415HR";"LFANT";"EP";principal;"Enge";"Andreas";"01-01-2010";"";"Principal";"Centre Inria de l'université de Bordeaux";"Institut Mathématiques de Bordeaux (UMR 5251)";"Terminée";"31/08/2023";"";"Théorie algorithmique des nombres rapide et flexible";"Lithe and fast algorithmic number theory";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"U. DE BORDEAUX, CNRS";"Université de Bordeaux, CNRS";"INSMI";"IMB [CNRS, U. DE BORDEAUX, BORDEAUX INP]";"Institut de Mathématiques de Bordeaux (IMB)";"01/01/2010";"31/08/2023";"24/03/2011, 17/03/2015, 19/03/2019";"201019622P";"";"7222-C, 11315-P, 14024-P, 15258-P, 15503-P";"091044-1";"théorie algorithmique des nombres, corps de nombres, corps de fonctions, courbes algébriques, cryptologie";"algorithmic number theory, number fields, function fields, algebraic curves, cryptology";
"SR0626YR";"LIFEWARE";"Equipe";principal;"Fages";"Francois";"01-01-2014";"31-12-2014";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"30/06/2015";"";"Computational systems biology and optimization";"Computational systems biology and optimization";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Biologie numérique";"Computational Biology";"";"";"";"";"";"01/01/2014";"30/06/2015";"";"201421205T";"";"9844-C, 10487-P";"021131-0";"biologie des systèmes computationnelle, modélisation computationnelle, programmation chimique, méthodes formelles, biologie synthétique, optimisation";"computational systems biology, computational modeling, chemical programming, formal methods, synthetic biology, optimization";
"SR0691IR";"LIFEWARE";"EP";principal;"Fages";"Francois";"01-04-2015";"";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Décision signée";"01/04/2015";"31/03/2027";"Computational systems biology and optimization";"Computational systems biology and optimization";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Biologie numérique";"Computational Biology";"";"";"";"";"";"01/04/2015";"31/03/2027";"11/10/2017, 15/05/2022";"201421205T";"";"10901-C, 11265-R, 13243-P, 15193-P, 16554-P";"111072-0";"biologie des systèmes computationnelle, modélisation computationnelle, programmation chimique, méthodes formelles, biologie synthétique, optimisation";"computational systems biology, computational modeling, chemical programming, formal methods, synthetic biology, optimization";
"SR0653WR";"LINKMEDIA";"EP";principal;"Amsaleg";"Laurent";"01-11-2018";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Décision signée";"01/07/2014";"30/06/2026";"Creating and exploiting explicit links between multimedia fragments";"Creating and exploiting explicit links between multimedia fragments";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Vision, perception et interprétation multimedia";"Vision, perception and multimedia interpretation";"INSA RENNES, CNRS, U. RENNES";"Institut national des sciences appliquées de Rennes, CNRS, Université de Rennes";"INS2I";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"01/07/2014";"30/06/2026";"03/10/2018";"201421145C";"";"10351-C, 13145-CR, 13147-N, 13731-P, 16221-P, 16983-P";"031030-1";"multimédia, indexation, découverte de connaissances, apprentissage, données massives, vision par ordinateur, traitement automatiqe des langues, audio/parole";"multimedia, indexing, knowledge discovery, machine learning, big data, computer vision, natural language processing, speech and audio";
"SR0549UR";"LINKS";"Equipe";principal;"Niehren";"Joachim";"01-01-2013";"30-06-2014";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"01/06/2016";"";"Linking Dynamic Data";"Linking Dynamic Data";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Représentation et traitement des données et des connaissances";"Data and Knowledge Representation and Processing";"";"";"";"";"";"01/01/2013";"01/06/2016";"";"201321077H";"";"9086-C, 10166-P, 10541-P, 11051-P, 11364-P, 11672-F";"101045-0";"bases de données, automates, logique, intégration de données, flux de données, apprentissage de requêtes";"databases, automata, logic, data integration, data streams, query induction";
"SR0743YR";"LINKS";"EP";principal;"Salvati";"Sylvain";"01-12-2022";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Décision signée";"01/06/2016";"31/12/2024";"Requêtes pour données dynamiques liées";"Linking Dynamic Data";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Représentation et traitement des données et des connaissances";"Data and Knowledge Representation and Processing";"CNRS, UNIVERSITE DE LILLE";"CNRS, Université de Lille";"INS2I";"CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA]";"Centre de Recherche en Informatique, Signal et Automatique de Lille";"01/06/2016";"31/12/2024";"03/10/2019";"201321077H";"";"11584-C, 14331-P, 15893-CR, 15894-N, 16994-P";"101045-1";"bases de données, automates, logique, intégration de données, flux de données, apprentissage de requêtes";"databases, automata, logic, data integration, data streams, query induction";
"SR0247OR";"LOCO";"EP";principal;"Codognet";"Philippe";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/1999";"";"Programmation en LOgique avec COntraintes";"Constraint Logic Programming";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"";"";"";"";"";"01/01/1996";"31/12/1999";"";"198722070A";"";"";"";"programmation par contraintes,sémantique,implantation,compilation,satisfaction de contraintes,concurrence,programmation logique,spécification formelle,débogage,environnement de pr";"constraint programming,semantics,implementation,compilation,constraint satisfaction,concurrency,logic programming,formal specification,debugging,programming environment,abstract interpretation,program";
"SR0248RR";"LOGICAL";"EP";principal;"Dowek";"Gilles";"";"";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"31/12/2007";"";"Logique et Calcul";"Logic and computing";"Systèmes symboliques";"Symbolic systems";"Sécurité et fiabilité du logiciel";"Reliability and safety of software";"";"";"";"";"";"01/01/2001";"31/12/2007";"";"200121378M";"";"3754-M, 5789-P, 6051-F";"";"";"";
"SR0351TR";"LOGNET";"Equipe";principal;"Liquori";"Luigi";"";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"01/07/2013";"";"Réseaux Logiques : Réseaux de Recouvrement Autonomes et Ordinateurs Globaux et Pervasifs";"Logical Networks: Self-organizing Overlay Networks and Programmable Overlay Computing Systems";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Systèmes et services distribués";"Distributed Systems and Services";"";"";"";"";"";"01/01/2008";"01/07/2013";"";"200821183V";"";"6043-C, 6867-P, 7400-P, 8866-P, 9482-F";"041103-0";"Internet du Futur, Réseaux de recouvrement,  Réseaux pair-à-pair,  Réseaux sociaux, Ordinateurs de recouvrement, Informatique ubiquitaire";"Internet of the Future, Overlay Networks, P2P Networks, Social Networks, Overlay Computing, Ubiquitous Computing ";
"SR0820LR";"LOKI";"EP";principal;"Casiez";"Gery";"01-01-2024";"31-12-2024";"Par intérim";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Décision signée";"01/07/2019";"30/06/2025";"Technologie et connaissance pour l'Interaction";"Technology & Knowledge for Interaction";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Interaction et visualisation";"Interaction and visualization";"UNIVERSITE DE LILLE";"Université de Lille";"INS2I";"CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA]";"Centre de Recherche en Informatique, Signal et Automatique de Lille";"01/01/2018";"30/06/2025";"";"201822657D";"";"12538-C, 13259-P, 13715-C, 16222-P, 16733-CR, 16734-N, 16986-P";"101059-0";"Interaction Homme-Machine ; Techniques d'interaction ; Dispositifs d'interaction ; Ingénierie des systèmes interactifs";"Human-Computer Interaction; Interaction techniques; Interaction devices; Engineering of interactive systems";
"SR0352ZR";"LORIASI";"Equipe";principal;"Derniame";"Jean-claude";"";"";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/12/2000";"";"Loria dans la société de l'information";"Loria in the Society of Information";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"";"";"";"";"";"01/01/2000";"31/12/2000";"";"200022116U";"";"";"";"";"";
"SR0564FR";"M3DISIM";"Equipe";principal;"Chapelle";"Dominique";"01-01-2013";"31-12-2013";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"31/05/2016";"";"Mathematical and Mechanical Modeling with Data Interaction in Simulations for Medicine";"Mathematical and Mechanical Modeling with Data Interaction in Simulations for Medicine";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Modélisation et commande pour le vivant";"Modeling and Control for Life Sciences";"";"";"";"";"";"01/01/2013";"31/05/2016";"";"201321220N";"";"9163-C, 9164-N, 9727-P, 10596-P, 11333-P, 11815-F";"111065-1";"";"";
"SR0746LR";"M3DISIM";"EP";principal;"Moireau";"Philippe";"01-07-2023";"";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Décision signée";"01/06/2016";"31/12/2027";"Mathematical and Mechanical Modeling with Data Interaction in Simulations for Medicine";"Mathematical and Mechanical Modeling with Data Interaction in Simulations for Medicine";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Modélisation et commande pour le vivant";"Modeling and Control for Life Sciences";"IP-PARIS";"Institut Polytechnique de Paris";"INSIS";"LMS []";"Laboratoire de Mécanique des Solides";"01/06/2016";"31/12/2027";"12/10/2017, 15/05/2022";"201321220N";"";"11654-C, 12023-N, 13241-P, 13310-N, 15196-P, 15903-CR, 15904-N, 16265-CR, 16266-N, 16553-P";"111065-2";"Modélisation biomécanique; Assimilation de données; Système cardiovasculaire; Analyse numérique; Analyse asymptotique; Essais expérimentaux; Applications médicales";"Biomechanical modeling; Data assimilation; Cardiovascular system; Numerical analysis; Asymptotic analysis; Experimental assays; Medical applications";
"SR0249HR";"M3N";"EP";principal;"Perthame";"Benoit";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2002";"";"Multi-modèles et Méthodes Numériques";"Multi-Models and Numerical Methods";"Simulation et optimisation de systèmes complexes";"Simulation and optimization of complex systems";"Modélisation et calcul scientifique";"Modelling and Scientific Computing";"";"";"";"";"";"01/01/1996";"31/12/2002";"";"199621444F";"";"3132-P";"";"algorithme numérique,analyse numérique,décomposition de domaine,edp,éléments finis,équation de boltzmann,équation de navier-stokes,logiciel numé";"numerical algorithm,numerical analysis,domain decomposition,pde,finite element,boltzmann equation,navier-stokes equation,numerical software,adaptive meshing,fluid mechanics,modelling,multigrid,shape o";
"SR0890WR";"MAASAI";"EP";principal;"Bouveyron";"Charles";"01-02-2020";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/02/2020";"31/12/2027";"Modèles et algorithmes pour l?intelligence artificielle";"Models and Algorithms for Artificial Intelligence";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation, apprentissage et méthodes statistiques";"Optimization, machine learning and statistical methods";"UCA";"Université Côte d'Azur";"INSMI, INS2I";"I3S [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS], LJAD [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS]";"Laboratoire informatique, signaux systèmes de Sophia Antipolis (I3S), Laboratoire Jean-Alexandre Dieudonné (JAD)";"01/02/2020";"31/12/2027";"01/12/2022";"202023544J";"";"14109-C, 15814-P, 16728-P";"041165-0";"Intelligence artificielle, apprentissage statistique, apprentissage machine, apprentissage profond";"Artificial Intelligence, Statistical Learning, Machine Learning, Deep Learning";
"SR0959TR";"MACARON";"EP";principal;"Franck";"Emmanuel";"01-04-2024";"";"Principal";"Centre Inria de l'Université de Lorraine";"Institut de recherche mathématique avancée";"Décision signée";"01/04/2024";"31/03/2028";"Apprentissage automatique pour des méthodes numériques optimisées";"MAChine leARning for Optimized Numerical methods";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Sciences de la planète, de l'environnement et de l'énergie";"Earth, Environmental and Energy Sciences";"U. STRASBOURG, CNRS";"Université de Strasbourg, CNRS";"INSMI";"IRMA [U. STRASBOURG, CNRS]";"Institut de recherche mathématique avancée (IRMA)";"01/04/2024";"31/03/2028";"";"202424531P";"";"16881-C";"051116-0";"";"PDE, numerical analysis, machine learning, neural networks, plasma, compressible fluid";
"SR0942UR";"MACBES";"EP";principal;"Grognard";"Frederic";"01-07-2023";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/07/2023";"30/06/2027";"Modélisation et commande de systèmes biologiques et  écologiques";"Modelling And Control of Biological and Ecological Systems";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Modélisation et commande pour le vivant";"Modeling and Control for Life Sciences";"INRAE, CNRS, UCA";"INRAE, CNRS, Université Côte d'Azur";"INSB";"ISA [CNRS, INRA, U. NICE SOPHIA ANTIPOLIS  (UNS)], IPMC []";"Institut Sophia Agrobiotech, Institut de pharmacologie moléculaire et cellulaire";"01/07/2023";"30/06/2027";"";"202324425D";"";"16293-C";"041172-0";"agroécosystèmes, lutte biologique, réseaux biologiques, systèmes biologiques, biomathématiques, contrôle, théorie des systèmes dynamiques, écosystèmes, environnement, épidémiologie, réseaux génétiques, identification, modèles mathématiques, réseaux métaboliques, modélisation, théorie du contrôle non linéaire, observateurs, commande optimal, protection des plantes, étude qualitative des équations différentielles ordinaires, réseaux trophiques";"agroecosystems, biological control, biological networks, biological systems, biomathematics, control, dynamical systems theory, ecosystems, environment, epidemiology, genetic networks, identification, mathematical models, metabolic network, modelling, nonlinear control theory, observers, optimal control, plant protection, qualitative study of ordinary differential equations, trophic networks";
"SR0086CR";"MACS";"EP";principal;"Chapelle";"Dominique";"";"";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"31/12/2012";"";"Modélisation, analyse et contrôle pour le calcul des structures";"Modeling, analysis and control in computational structural dynamics";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Observation, modélisation et commande pour le vivant";"Observation, Modeling, and Control for Life Sciences";"";"";"";"";"";"01/02/2000";"31/12/2012";"07/10/2009";"200018326Z";"";"4721-P, 2922-C, 6582-P, 7388-P, 8697-M, 9120-F";"111065-0";"calcul des structures,dynamique,stabilité,coques,éléments finis,verrouillage,robustesse,décomposition de domaine,biomécanique,assimilation de données";"structural mechanics,dynamics,stability,shells,finite elements,locking,robustness, domain decomposition,biomechanics, data assimilation";
"SR0250IR";"MACSI";"EP";principal;"Portmann";"Marie-claude";"";"";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"30/06/2006";"";"Modélisation, analyse et conduite des systèmes industriels";"Industrial system modeling, analysis and operation";"Systèmes numériques";"Numerical systems";"Automatique et systèmes complexes";"Control and complex systems";"";"";"";"";"";"01/01/1999";"30/06/2006";"";"199921393M";"";"3220-P, 4720-P";"";"systemes de production,systemes a evenements discrets,modelisation,evaluation de performance,reseaux de petri,pilotage,ordonnancement,integration des systemes industriels";"production systems,discrete event systems,modelling,supervisory control synthesis,performance evaluation,petri nets,layout,scheduling,shop-floor control,industrial systems integration";
"SR0353BR";"MADE";"Equipe";principal;"Duval";"Patrick";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/1997";"";"Environnement de développement d'applications multimédia";"Multimedia Applications Development Environment";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"";"";"";"";"";"01/01/1997";"31/12/1997";"";"199722118J";"";"";"";"";"";
